,amh,ara,dan,deu,eng,spa,fas,fin,fra,hun,ind,ita,kor,lav,nep,nld,nor,por,ron,swe,ukr,zho,bam,bbj,ewe,fon,hau,ibo,kin,lug,luo,mos,nya,pcm,sna,swa,tsn,twi,wol,xho,yor,zul
amh,0.0,21.0,35.0,35.0,38.0,38.0,29.0,36.0,39.0,28.0,36.0,37.0,7.0,28.0,18.0,36.0,36.0,40.0,38.0,35.0,35.0,3.0,37.0,40.0,35.0,40.0,35.0,34.0,33.0,36.0,39.0,39.0,30.0,37.0,3.0,36.0,36.0,41.0,38.0,3.0,33.0,3.0
ara,2.0,0.0,17.0,15.0,9.0,20.0,17.0,12.0,5.0,19.0,28.0,11.0,3.0,33.0,3.0,6.0,20.0,22.0,21.0,12.0,21.0,8.0,31.0,33.0,21.0,31.0,23.0,13.0,7.0,31.0,32.0,22.0,13.0,26.0,12.0,2.0,13.0,33.0,22.0,6.0,18.0,6.0
dan,17.0,6.0,0.0,3.0,7.0,8.0,14.0,1.0,9.0,10.0,4.0,3.0,22.0,2.0,17.0,3.0,1.0,5.0,5.0,1.0,5.5,11.0,24.0,20.0,13.0,25.0,14.0,15.0,16.0,5.0,14.0,31.0,5.0,15.0,10.0,4.0,15.0,11.0,19.0,25.0,8.0,23.0
deu,10.0,2.0,6.0,0.0,6.0,6.0,6.0,8.0,3.0,5.0,16.0,1.0,2.0,7.0,6.0,2.0,2.0,4.0,7.0,3.0,9.0,12.0,20.0,10.0,18.0,16.0,8.0,8.0,6.0,7.0,6.0,23.0,8.0,7.0,19.0,1.0,1.0,10.0,23.0,33.0,6.0,19.0
eng,15.0,1.0,7.0,2.0,0.0,1.0,15.0,2.0,15.0,2.0,7.0,6.0,17.0,12.0,11.0,1.0,3.0,3.0,2.0,4.0,2.0,5.0,21.0,27.0,14.0,22.0,4.0,16.0,10.0,14.0,21.0,19.0,6.0,11.0,14.0,3.0,22.0,27.0,26.0,21.0,26.0,12.0
spa,22.0,27.0,20.0,12.0,20.0,0.0,21.0,10.0,17.0,12.0,30.0,2.0,8.0,14.0,32.0,11.0,9.0,0.0,8.0,15.0,13.0,21.0,23.0,25.0,31.0,26.0,30.0,22.0,31.0,27.0,22.0,25.0,9.0,28.0,17.0,33.0,25.0,32.0,14.0,23.0,19.0,33.0
fas,8.0,31.0,34.0,22.0,22.0,29.0,0.0,29.0,33.0,29.0,13.0,24.0,4.0,29.0,12.0,29.0,29.0,25.0,33.0,30.0,36.0,15.0,38.0,39.0,38.0,41.0,7.0,40.0,18.0,33.0,40.0,41.0,31.0,30.0,31.0,37.0,21.0,38.0,39.0,24.0,35.0,21.0
fin,14.0,11.0,2.0,5.0,15.0,11.0,22.0,0.0,22.0,4.0,22.0,14.0,10.0,1.0,21.0,7.0,7.0,14.0,16.0,5.0,15.0,19.0,19.0,22.0,19.0,12.0,22.0,5.0,29.0,19.0,18.0,13.0,16.0,18.0,5.0,17.0,17.0,16.0,11.0,8.0,22.0,7.0
fra,16.0,20.0,27.0,18.0,25.0,16.0,26.0,35.0,0.0,25.0,32.0,16.0,36.0,24.0,33.0,16.0,24.0,15.0,19.0,18.0,5.5,13.0,34.0,36.0,30.0,35.0,37.0,27.0,26.0,32.0,27.0,36.0,20.0,32.0,27.0,22.0,33.0,29.0,34.0,37.0,38.0,20.0
hun,35.0,34.0,8.0,7.0,16.0,7.0,36.0,4.0,18.0,0.0,27.0,17.0,21.0,15.0,37.0,5.0,5.0,19.0,15.0,11.0,27.0,37.0,13.0,13.0,15.0,6.0,24.0,26.0,34.0,23.0,23.0,5.0,18.0,21.0,21.0,23.0,31.0,26.0,4.0,29.0,20.0,31.0
